queue_order,priority,product_slug,product_standard_scope,source_id,source_title,route_status,route_kind,local_pdf_status,local_pdf_path,source_page_path,metals_declared,missing_metal_species,products_declared,evidence_use,action_needed,guardrails
28,P0-extract-direct-product-values,teething-and-snacks-rice-based,locked_hmtc_row,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,source_on_page_no_structured_value,direct_product_frontmatter,local_pdf_found,raw/studies/nuaf138.pdf,wiki/sources/collado-lopez2025-heavy-metals-baby-food-formula.md,Pb;Cd;tAs;tHg,Pb;Cd;tAs;tHg,infant-formula;baby-cereals-dry-rice-based;baby-cereals-dry-non-rice;fruit-purees;non-root-vegetable-purees;root-vegetable-purees;meat-and-poultry-purees;fish-containing-baby-foods;mixed-meals-rice-containing;mixed-meals-non-rice;teething-and-snacks-rice-based;teething-and-snacks-non-rice,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury"
29,P0-extract-missing-product-values,teething-and-snacks-rice-based,locked_hmtc_row,fda2024-toxic-elements-baby-food-compliance-2009-2024,"Analytical Results for Arsenic, Lead, Cadmium, and Mercury in Food Intended for Babies and Young Children - TEP (FY2009-FY2024)",partial_structured_values_present,direct_product_frontmatter,local_pdf_found,raw/Digest/TEP-AsPbCdHg-TEP-FY2009-FY2024-12162024.pdf,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,tAs;Pb;Cd;tHg,tHg,baby-cereals-dry-non-rice;baby-cereals-dry-rice-based;fruit-purees;non-root-vegetable-purees;root-vegetable-purees;mixed-meals-non-rice;mixed-meals-rice-containing;teething-and-snacks-rice-based,partial_structured_value_candidate,Extract missing product-row metals if the source table is usable; otherwise document why they remain context only. Missing declared metals: tHg.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury"
30,P2-confirm-local-pdf-match,fruit-juice-not-canned,locked_hmtc_row,fda2022-draft-lead-juice,Draft Guidance for Industry: Action Levels for Lead in Juice,missing_direct_product_route,direct_product_frontmatter,candidate_local_pdf_needs_review,raw/reports/FDA_CloserToZero_Lead_ActionLevels_2025.pdf,wiki/sources/fda2022-draft-lead-juice.md,Pb,Pb,[[products/fruit-juice-not-canned]],direct_context_pending_extraction,"Promote this source to the product page, then decide whether structured values can be extracted.","local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication"
31,P2-confirm-local-pdf-match,fruit-juice-not-canned,locked_hmtc_row,fda2022-tds-elements-fy2018-fy2020,FY2018-FY2020 TDS Elements Analytical Results,missing_direct_product_route,direct_product_frontmatter,candidate_local_pdf_needs_review,raw/Digest/TDS-ElementsAnalyticalResultsKey-TDS-Report-FY2018toFY2020-07082022_0.pdf,wiki/sources/fda2022-tds-elements-fy2018-fy2020.md,Pb;Cd;tAs;iAs;tHg;Ni;Cr,Pb;Cd;tAs;iAs;tHg;Ni;Cr,fruit-juice-not-canned;fruit-juices-apple-containing;fruit-juices-non-apple,direct_context_pending_extraction,"Promote this source to the product page, then decide whether structured values can be extracted.","local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury"
32,P2-confirm-local-pdf-match,fruit-juices-apple-containing,locked_hmtc_row,fda2022-tds-elements-fy2018-fy2020,FY2018-FY2020 TDS Elements Analytical Results,missing_direct_product_route,direct_product_frontmatter,candidate_local_pdf_needs_review,raw/Digest/TDS-ElementsAnalyticalResultsKey-TDS-Report-FY2018toFY2020-07082022_0.pdf,wiki/sources/fda2022-tds-elements-fy2018-fy2020.md,Pb;Cd;tAs;iAs;tHg;Ni;Cr,Pb;Cd;tAs;iAs;tHg;Ni;Cr,fruit-juice-not-canned;fruit-juices-apple-containing;fruit-juices-non-apple,direct_context_pending_extraction,"Promote this source to the product page, then decide whether structured values can be extracted.","local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury"
33,P2-confirm-local-pdf-match,fruit-juices-non-apple,locked_hmtc_row,fda2022-tds-elements-fy2018-fy2020,FY2018-FY2020 TDS Elements Analytical Results,missing_direct_product_route,direct_product_frontmatter,candidate_local_pdf_needs_review,raw/Digest/TDS-ElementsAnalyticalResultsKey-TDS-Report-FY2018toFY2020-07082022_0.pdf,wiki/sources/fda2022-tds-elements-fy2018-fy2020.md,Pb;Cd;tAs;iAs;tHg;Ni;Cr,Pb;Cd;tAs;iAs;tHg;Ni;Cr,fruit-juice-not-canned;fruit-juices-apple-containing;fruit-juices-non-apple,direct_context_pending_extraction,"Promote this source to the product page, then decide whether structured values can be extracted.","local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury"
34,P2-review-context-only-route,glucose-solutions,bridge_context,dabeka2011-canada-infant-formula-lead-cadmium-aluminum,"Lead, cadmium and aluminum in Canadian infant formulae, oral electrolytes and glucose solutions",source_on_page_no_structured_value,direct_product_frontmatter,local_pdf_found,raw/Digest/Added Manually /Lead  cadmium and aluminum in Canadian infant formulae  oral electrolytes and glucose solutions.pdf,wiki/sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum.md,Pb;Cd;Al,Pb;Cd;Al,infant-formula-powder-non-soy;infant-formula-powder-soy-based;infant-formula-rtf-liquid-non-soy;infant-formula-rtf-liquid-soy-based;infant-formula-concentrated-liquid-non-soy;infant-formula-concentrated-liquid-soy-based;oral-electrolyte-solutions;glucose-solutions,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy"
35,P2-review-context-only-route,infant-formula-powder,base_context,akhtar2017-pakistan-infant-formula-nickel-aflatoxin,Determination of aflatoxin M1 and heavy metals in infant formula milk brands available in Pakistani markets,source_on_page_no_structured_value,direct_product_frontmatter,local_pdf_found,raw/markdown/FM_5355587/FM_5355587.md,wiki/sources/akhtar2017-pakistan-infant-formula-nickel-aflatoxin.md,Ni;Pb;Cd;Fe;Zn,Ni;Pb;Cd;Fe;Zn,infant-formula-powder,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy"
36,P2-review-context-only-route,infant-formula-powder,base_context,almeida2022-brazil-infant-formula-toxic-metals,"Toxic Metals and Metalloids in Infant Formulas Marketed in Brazil, and Child Health Risks According to the Target Hazard Quotients and Target Cancer Risk",missing_direct_product_route,direct_product_frontmatter,local_pdf_found,"raw/studies/Toxic Metals and Metalloids in Infant Formulas Marketed in Brazil, and Child Health Risks According to the Target Hazard Quotients and Target Cancer Risk.pdf",wiki/sources/almeida2022-brazil-infant-formula-toxic-metals.md,Al;tAs;Cd;Sn;tHg;Pb;U,Al;tAs;Cd;Sn;tHg;Pb;U,infant-formula-powder,direct_context_pending_extraction,"Promote this source to the product page, then decide whether structured values can be extracted.","local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury"
37,P2-review-context-only-route,infant-formula-powder,base_context,astolfi2021-italy-powdered-infant-formula-elements,Determination of 40 Elements in Powdered Infant Formulas and Related Risk Assessment,source_on_page_no_structured_value,direct_product_frontmatter,local_pdf_found,raw/Digest/Added Manually /ijerph-18-05073.pdf,wiki/sources/astolfi2021-italy-powdered-infant-formula-elements.md,Al;tAs;Cd;Cr;Mn;Ni;Pb;Sn;Zn,Al;tAs;Cd;Cr;Mn;Ni;Pb;Sn;Zn,infant-formula-powder,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total arsenic separate from inorganic arsenic"
38,P2-review-context-only-route,infant-formula-powder,base_context,fsa2016-infant-food-formula-metals-survey,"Survey of metals in commercial infant foods, infant formula and non-infant specific foods",missing_direct_product_route,direct_product_frontmatter,local_pdf_found,raw/studies/FS102048 Infants metal survey FSIS pdf version.pdf,wiki/sources/fsa2016-infant-food-formula-metals-survey.md,Al;Sb;tAs;iAs;Cd;Cr;Cu;I;Fe;Pb;Mn;tHg;Ni;Se;Sn;Zn,Al;Sb;tAs;iAs;Cd;Cr;Cu;I;Fe;Pb;Mn;tHg;Ni;Se;Sn;Zn,infant-formula-powder;infant-formula-rtf-liquid;baby-cereals;fruit-purees;vegetable-purees;baby-drinks;snacks;meat-and-fish-baby-foods;mixed-meals,direct_context_pending_extraction,"Promote this source to the product page, then decide whether structured values can be extracted.","local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury"
39,P2-review-context-only-route,infant-formula-powder,base_context,lutfullah2014-peshawar-dried-fluid-milk-metals,Comparative study of heavy metals in dried and fluid milk in Peshawar by atomic absorption spectrophotometry,source_on_page_no_structured_value,direct_product_frontmatter,local_pdf_found,raw/markdown/FM_4054615/FM_4054615.md,wiki/sources/lutfullah2014-peshawar-dried-fluid-milk-metals.md,Pb;Cd;Cr;Ni;Ca;Mg;Cu;Zn;Fe;Mn,Pb;Cd;Cr;Ni;Ca;Mg;Cu;Zn;Fe;Mn,infant-formula-powder;powdered-milk;liquid-milk,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy"
40,P2-review-context-only-route,infant-formula-powder,base_context,meli2024-chemical-characterization-baby-food-italy,Chemical characterization of baby food consumed in Italy,missing_direct_product_route,direct_product_frontmatter,local_pdf_found,raw/studies/FM_10883532_Chemical_characterization_of_baby_food_consumed_in_Italy.pdf,wiki/sources/meli2024-chemical-characterization-baby-food-italy.md,Al;tAs;Cd;tHg;Ni;Pb;Sn,Al;tAs;Cd;tHg;Ni;Pb;Sn,infant-formula-powder;fruit-purees;meat-and-poultry-purees;fish-containing-baby-foods;baby-cereals,direct_context_pending_extraction,"Promote this source to the product page, then decide whether structured values can be extracted.","local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury"
41,P2-review-context-only-route,infant-formula-powder,base_context,pandelova2012-eu-baby-food-formula-elements,"Ca, Cd, Cu, Fe, Hg, Mn, Ni, Pb, Se, and Zn contents in baby foods from the EU market: Comparison of assessed infant intakes with the present safety limits for minerals and trace elements",missing_direct_product_route,direct_product_frontmatter,local_pdf_found,raw/studies/pandelova2012.pdf,wiki/sources/pandelova2012-eu-baby-food-formula-elements.md,Cd;tHg;Ni;Pb;Ca;Cu;Fe;Mn;Se;Zn,Cd;tHg;Ni;Pb;Ca;Cu;Fe;Mn;Se;Zn,infant-formula-powder;infant-formula-soy;infant-formula-hypoallergenic;solid-baby-foods-and-beverages,direct_context_pending_extraction,"Promote this source to the product page, then decide whether structured values can be extracted.","local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total mercury separate from methylmercury"
42,P2-review-context-only-route,infant-formula-powder,base_context,signes-pastor2018-infants-dietary-arsenic-solid-food,Infants' dietary arsenic exposure during transition to solid food,missing_direct_product_route,direct_product_frontmatter,local_pdf_found,raw/markdown/FM_5940663/FM_5940663.md,wiki/sources/signes-pastor2018-infants-dietary-arsenic-solid-food.md,iAs;tAs,iAs;tAs,infant-formula-powder;rice-cereal;fruit-purees;vegetable-purees;mixed-cereals;rice-based-snacks,direct_context_pending_extraction,"Promote this source to the product page, then decide whether structured values can be extracted.","local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy; keep total arsenic separate from inorganic arsenic"
43,P2-review-context-only-route,oral-electrolyte-solutions,bridge_context,dabeka2011-canada-infant-formula-lead-cadmium-aluminum,"Lead, cadmium and aluminum in Canadian infant formulae, oral electrolytes and glucose solutions",source_on_page_no_structured_value,direct_product_frontmatter,local_pdf_found,raw/Digest/Added Manually /Lead  cadmium and aluminum in Canadian infant formulae  oral electrolytes and glucose solutions.pdf,wiki/sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum.md,Pb;Cd;Al,Pb;Cd;Al,infant-formula-powder-non-soy;infant-formula-powder-soy-based;infant-formula-rtf-liquid-non-soy;infant-formula-rtf-liquid-soy-based;infant-formula-concentrated-liquid-non-soy;infant-formula-concentrated-liquid-soy-based;oral-electrolyte-solutions;glucose-solutions,direct_context_pending_extraction,Extract product-row values if the source table is usable; otherwise document why it remains context only.,"local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication; separate powder/liquid and soy/non-soy"
44,P3-find-local-pdf-or-web-copy,fruit-juice-not-canned,locked_hmtc_row,fda2004-juice-haccp-lead,"Juice HACCP Hazards and Controls Guidance, First Edition — Lead in Juice",missing_direct_product_route,direct_product_frontmatter,missing_local_pdf,,wiki/sources/fda2004-juice-haccp-lead.md,Pb,Pb,[[products/fruit-juice-not-canned]],direct_context_pending_extraction,"Promote this source to the product page, then decide whether structured values can be extracted.","local PDF first; extract N, mean, median, min/low, max/high, basis, unit, product fit, analyte species; do not infer p50/p90/p95 unless explicitly reported; do not pool broad/context rows into locked subcategory until row fit is resolved; write candidate rows for review before page publication"
