action_order,action_priority,action_type,product_slug,product_label,product_standard_scope,product_review_state,aggregate_hmtc_p90_status,metal_species,loaded_source_count,loaded_n,loaded_row_count,local_candidate_value_count,context_disposition_count,tds_product_route_candidate_count,pending_local_extract_source_count,candidate_pdf_match_count,missing_pdf_count,action_sources,candidate_sources,local_extract_sources,context_disposition_sources,candidate_pdf_match_sources,missing_source_routes,tds_product_route_foods,evidence_needed,next_step,suggested_command,guardrails,notes
49,P2,find-second-distribution-capable-source,infant-formula-powder-soy-based,"Infant formula, powder (soy-based)",locked_hmtc_row,published,DO NOT PUBLISH P90: single distribution-capable source,"Pb; Cd; tAs; tHg",16,205,19,0,0,0,0,0,0,,,,,,,,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution.",Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication.,npm run evidence:show-results -- --product infant-formula-powder-soy-based,"A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90.","A single source can remain loaded evidence, but it is not the HMTc aggregate."
50,P2,find-second-distribution-capable-source,infant-formula-rtf-liquid-non-soy,"Infant formula, RTF liquid (non-soy)",locked_hmtc_row,published,DO NOT PUBLISH P90: single distribution-capable source,"Pb; Cd; tAs; tHg",11,227,19,0,0,0,0,0,0,,,,,,,,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution.",Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication.,npm run evidence:show-results -- --product infant-formula-rtf-liquid-non-soy,"A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90.","A single source can remain loaded evidence, but it is not the HMTc aggregate."
51,P2,find-second-distribution-capable-source,infant-formula-rtf-liquid-soy-based,"Infant formula, RTF liquid (soy-based)",locked_hmtc_row,published,DO NOT PUBLISH P90: single distribution-capable source,"Pb; Cd; tAs; tHg",7,56,7,0,0,0,0,0,0,,,,,,,,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution.",Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication.,npm run evidence:show-results -- --product infant-formula-rtf-liquid-soy-based,"A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90.","A single source can remain loaded evidence, but it is not the HMTc aggregate."
52,P2,find-second-distribution-capable-source,mixed-meals-non-rice,"Mixed meals, non-rice",locked_hmtc_row,published,DO NOT PUBLISH P90: single distribution-capable source,"Pb; Cd; tAs; tHg",5,268,5,0,3,0,0,0,0,,,,collado-lopez2025-heavy-metals-baby-food-formula,,,,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution.",Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication.,npm run evidence:show-results -- --product mixed-meals-non-rice,"A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90.","A single source can remain loaded evidence, but it is not the HMTc aggregate."
53,P2,find-second-distribution-capable-source,mixed-meals-rice-containing,"Mixed meals, rice-containing",locked_hmtc_row,published,DO NOT PUBLISH P90: single distribution-capable source,"Pb; Cd; tAs; tHg",7,30,7,0,1,0,0,0,0,,,,collado-lopez2025-heavy-metals-baby-food-formula,,,,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution.",Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication.,npm run evidence:show-results -- --product mixed-meals-rice-containing,"A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90.","A single source can remain loaded evidence, but it is not the HMTc aggregate."
54,P2,find-second-distribution-capable-source,non-root-vegetable-purees,Non-root vegetable purees,locked_hmtc_row,published,DO NOT PUBLISH P90: single distribution-capable source,"Pb; Cd; tAs; tHg",8,120,8,0,4,0,0,0,0,,,,collado-lopez2025-heavy-metals-baby-food-formula,,,,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution.",Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication.,npm run evidence:show-results -- --product non-root-vegetable-purees,"A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90.","A single source can remain loaded evidence, but it is not the HMTc aggregate."
55,P2,find-second-distribution-capable-source,root-vegetable-purees,Root-vegetable purees,locked_hmtc_row,published,DO NOT PUBLISH P90: single distribution-capable source,"Pb; Cd; tAs; tHg",9,228,9,0,5,0,0,0,0,,,,"collado-lopez2025-heavy-metals-baby-food-formula; spungen2024-fda-tds-infant-lead-cadmium",,,,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution.",Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication.,npm run evidence:show-results -- --product root-vegetable-purees,"A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90.","A single source can remain loaded evidence, but it is not the HMTc aggregate."
56,P2,find-second-distribution-capable-source,teething-and-snacks-rice-based,Teething & snacks (rice-based),locked_hmtc_row,published,DO NOT PUBLISH P90: single distribution-capable source,"Pb; Cd; tAs",6,6,6,0,1,0,0,0,0,,,,signes-pastor2018-infants-dietary-arsenic-solid-food,,,,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution.",Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication.,npm run evidence:show-results -- --product teething-and-snacks-rice-based,"A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90.","A single source can remain loaded evidence, but it is not the HMTc aggregate."
57,P3,review-evidence-fitness,infant-formula-powder-non-soy,"Infant formula, powder (non-soy)",locked_hmtc_row,published,BLOCKED: evidence fitness review needed,Sb,1,0,6,0,0,0,0,0,0,,,,,,,,Review loaded rows and pending sources before HMTc p90 math.,"Review row fit, basis, censoring, and Evidence Fitness before any standards calculation.",npm run evidence:show-results -- --product infant-formula-powder-non-soy,Keep pending-tier and machine-extracted evidence out of public claims until reviewed.,Loaded source count: 1.
58,P3,review-evidence-fitness,infant-formula-powder-soy-based,"Infant formula, powder (soy-based)",locked_hmtc_row,published,BLOCKED: evidence fitness review needed,"Sn; Cr-total; Sb",3,0,3,0,0,0,0,0,0,,,,,,,,Review loaded rows and pending sources before HMTc p90 math.,"Review row fit, basis, censoring, and Evidence Fitness before any standards calculation.",npm run evidence:show-results -- --product infant-formula-powder-soy-based,Keep pending-tier and machine-extracted evidence out of public claims until reviewed.,Loaded source count: 1.
59,P3,review-evidence-fitness,infant-formula-rtf-liquid-non-soy,"Infant formula, RTF liquid (non-soy)",locked_hmtc_row,published,BLOCKED: evidence fitness review needed,"iAs; Ni; Sn; Cr-total; Sb",5,0,15,0,0,0,0,0,0,,,,,,,,Review loaded rows and pending sources before HMTc p90 math.,"Review row fit, basis, censoring, and Evidence Fitness before any standards calculation.",npm run evidence:show-results -- --product infant-formula-rtf-liquid-non-soy,Keep pending-tier and machine-extracted evidence out of public claims until reviewed.,Loaded source count: 1.
