adjudication_order,priority,machine_task,action_type,product_slug,product_label,product_standard_scope,product_review_state,metal_species,source_ids,aggregate_hmtc_p90_status,required_decisions,input_artifacts,guardrails,expected_outputs,confidence_gate,human_exception_trigger,blocks_public_claims,blocks_hmtc_threshold,next_command,notes
24,P2,find_second_fit_distribution_source,find-second-distribution-capable-source,baby-cereals-dry-rice-based,"Baby cereals / grain products, dry (rice-based)",locked_hmtc_row,published,"Pb; Cd; tAs; tHg",,DO NOT PUBLISH P90: single distribution-capable source,"source independence; product row fit; basis comparability; species match; distribution capability; aggregation readiness","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; data/evidence/local_reingest_context_dispositions.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90. A single distribution-capable source is loaded evidence, not the aggregate HMTc p90.",additional distribution-capable evidence or a single-source blocker retained in the standards gap report,Advance aggregate math only after at least two fit distribution-capable sources are available or governance explicitly approves an exception.,"single source is proposed as sufficient; source independence or comparability is contested",true,true,npm run evidence:show-results -- --product baby-cereals-dry-rice-based,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution. Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication. A single source can remain loaded evidence, but it is not the HMTc aggregate."
25,P2,find_second_fit_distribution_source,find-second-distribution-capable-source,fruit-juice-not-canned,Fruit juice (not canned),locked_hmtc_row,published,"Pb; Cd; tAs; Ni",,DO NOT PUBLISH P90: single distribution-capable source,"source independence; product row fit; basis comparability; species match; distribution capability; aggregation readiness","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; data/evidence/local_reingest_context_dispositions.csv; data/evidence/fda_tds_product_route_candidates.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90. A single distribution-capable source is loaded evidence, not the aggregate HMTc p90.",additional distribution-capable evidence or a single-source blocker retained in the standards gap report,Advance aggregate math only after at least two fit distribution-capable sources are available or governance explicitly approves an exception.,"single source is proposed as sufficient; source independence or comparability is contested",true,true,npm run evidence:show-results -- --product fruit-juice-not-canned,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution. Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication. A single source can remain loaded evidence, but it is not the HMTc aggregate."
26,P2,find_second_fit_distribution_source,find-second-distribution-capable-source,fruit-juices-apple-containing,"Fruit juices, apple-containing",locked_hmtc_row,draft,"Pb; iAs; tAs",,DO NOT PUBLISH P90: single distribution-capable source,"source independence; product row fit; basis comparability; species match; distribution capability; aggregation readiness","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; data/evidence/fda_tds_product_route_candidates.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90. A single distribution-capable source is loaded evidence, not the aggregate HMTc p90.",additional distribution-capable evidence or a single-source blocker retained in the standards gap report,Advance aggregate math only after at least two fit distribution-capable sources are available or governance explicitly approves an exception.,"single source is proposed as sufficient; source independence or comparability is contested",true,true,npm run evidence:show-results -- --product fruit-juices-apple-containing,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution. Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication. A single source can remain loaded evidence, but it is not the HMTc aggregate."
27,P2,find_second_fit_distribution_source,find-second-distribution-capable-source,fruit-juices-non-apple,"Fruit juices, non-apple",locked_hmtc_row,draft,"Pb; iAs; tAs",,DO NOT PUBLISH P90: single distribution-capable source,"source independence; product row fit; basis comparability; species match; distribution capability; aggregation readiness","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; data/evidence/fda_tds_product_route_candidates.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90. A single distribution-capable source is loaded evidence, not the aggregate HMTc p90.",additional distribution-capable evidence or a single-source blocker retained in the standards gap report,Advance aggregate math only after at least two fit distribution-capable sources are available or governance explicitly approves an exception.,"single source is proposed as sufficient; source independence or comparability is contested",true,true,npm run evidence:show-results -- --product fruit-juices-non-apple,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution. Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication. A single source can remain loaded evidence, but it is not the HMTc aggregate."
28,P2,find_second_fit_distribution_source,find-second-distribution-capable-source,fruit-purees,Fruit purees (general),locked_hmtc_row,published,"Pb; Cd; tAs; tHg",,DO NOT PUBLISH P90: single distribution-capable source,"source independence; product row fit; basis comparability; species match; distribution capability; aggregation readiness","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; data/evidence/local_reingest_context_dispositions.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90. A single distribution-capable source is loaded evidence, not the aggregate HMTc p90.",additional distribution-capable evidence or a single-source blocker retained in the standards gap report,Advance aggregate math only after at least two fit distribution-capable sources are available or governance explicitly approves an exception.,"single source is proposed as sufficient; source independence or comparability is contested",true,true,npm run evidence:show-results -- --product fruit-purees,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution. Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication. A single source can remain loaded evidence, but it is not the HMTc aggregate."
29,P2,find_second_fit_distribution_source,find-second-distribution-capable-source,infant-formula-powder-non-soy,"Infant formula, powder (non-soy)",locked_hmtc_row,published,"Pb; Cd; tAs; tHg",,DO NOT PUBLISH P90: single distribution-capable source,"source independence; product row fit; basis comparability; species match; distribution capability; aggregation readiness","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90. A single distribution-capable source is loaded evidence, not the aggregate HMTc p90.",additional distribution-capable evidence or a single-source blocker retained in the standards gap report,Advance aggregate math only after at least two fit distribution-capable sources are available or governance explicitly approves an exception.,"single source is proposed as sufficient; source independence or comparability is contested",true,true,npm run evidence:show-results -- --product infant-formula-powder-non-soy,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution. Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication. A single source can remain loaded evidence, but it is not the HMTc aggregate."
30,P2,find_second_fit_distribution_source,find-second-distribution-capable-source,infant-formula-powder-soy-based,"Infant formula, powder (soy-based)",locked_hmtc_row,published,"Pb; Cd; tAs; tHg",,DO NOT PUBLISH P90: single distribution-capable source,"source independence; product row fit; basis comparability; species match; distribution capability; aggregation readiness","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90. A single distribution-capable source is loaded evidence, not the aggregate HMTc p90.",additional distribution-capable evidence or a single-source blocker retained in the standards gap report,Advance aggregate math only after at least two fit distribution-capable sources are available or governance explicitly approves an exception.,"single source is proposed as sufficient; source independence or comparability is contested",true,true,npm run evidence:show-results -- --product infant-formula-powder-soy-based,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution. Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication. A single source can remain loaded evidence, but it is not the HMTc aggregate."
31,P2,find_second_fit_distribution_source,find-second-distribution-capable-source,infant-formula-rtf-liquid-non-soy,"Infant formula, RTF liquid (non-soy)",locked_hmtc_row,published,"Pb; Cd; tAs; tHg",,DO NOT PUBLISH P90: single distribution-capable source,"source independence; product row fit; basis comparability; species match; distribution capability; aggregation readiness","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90. A single distribution-capable source is loaded evidence, not the aggregate HMTc p90.",additional distribution-capable evidence or a single-source blocker retained in the standards gap report,Advance aggregate math only after at least two fit distribution-capable sources are available or governance explicitly approves an exception.,"single source is proposed as sufficient; source independence or comparability is contested",true,true,npm run evidence:show-results -- --product infant-formula-rtf-liquid-non-soy,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution. Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication. A single source can remain loaded evidence, but it is not the HMTc aggregate."
32,P2,find_second_fit_distribution_source,find-second-distribution-capable-source,infant-formula-rtf-liquid-soy-based,"Infant formula, RTF liquid (soy-based)",locked_hmtc_row,published,"Pb; Cd; tAs; tHg",,DO NOT PUBLISH P90: single distribution-capable source,"source independence; product row fit; basis comparability; species match; distribution capability; aggregation readiness","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90. A single distribution-capable source is loaded evidence, not the aggregate HMTc p90.",additional distribution-capable evidence or a single-source blocker retained in the standards gap report,Advance aggregate math only after at least two fit distribution-capable sources are available or governance explicitly approves an exception.,"single source is proposed as sufficient; source independence or comparability is contested",true,true,npm run evidence:show-results -- --product infant-formula-rtf-liquid-soy-based,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution. Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication. A single source can remain loaded evidence, but it is not the HMTc aggregate."
33,P2,find_second_fit_distribution_source,find-second-distribution-capable-source,mixed-meals-non-rice,"Mixed meals, non-rice",locked_hmtc_row,published,"Pb; Cd; tAs; tHg",,DO NOT PUBLISH P90: single distribution-capable source,"source independence; product row fit; basis comparability; species match; distribution capability; aggregation readiness","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; data/evidence/local_reingest_context_dispositions.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90. A single distribution-capable source is loaded evidence, not the aggregate HMTc p90.",additional distribution-capable evidence or a single-source blocker retained in the standards gap report,Advance aggregate math only after at least two fit distribution-capable sources are available or governance explicitly approves an exception.,"single source is proposed as sufficient; source independence or comparability is contested",true,true,npm run evidence:show-results -- --product mixed-meals-non-rice,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution. Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication. A single source can remain loaded evidence, but it is not the HMTc aggregate."
34,P2,find_second_fit_distribution_source,find-second-distribution-capable-source,mixed-meals-rice-containing,"Mixed meals, rice-containing",locked_hmtc_row,published,"Pb; Cd; tAs; tHg",,DO NOT PUBLISH P90: single distribution-capable source,"source independence; product row fit; basis comparability; species match; distribution capability; aggregation readiness","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; data/evidence/local_reingest_context_dispositions.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90. A single distribution-capable source is loaded evidence, not the aggregate HMTc p90.",additional distribution-capable evidence or a single-source blocker retained in the standards gap report,Advance aggregate math only after at least two fit distribution-capable sources are available or governance explicitly approves an exception.,"single source is proposed as sufficient; source independence or comparability is contested",true,true,npm run evidence:show-results -- --product mixed-meals-rice-containing,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution. Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication. A single source can remain loaded evidence, but it is not the HMTc aggregate."
35,P2,find_second_fit_distribution_source,find-second-distribution-capable-source,non-root-vegetable-purees,Non-root vegetable purees,locked_hmtc_row,published,"Pb; Cd; tAs; tHg",,DO NOT PUBLISH P90: single distribution-capable source,"source independence; product row fit; basis comparability; species match; distribution capability; aggregation readiness","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; data/evidence/local_reingest_context_dispositions.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90. A single distribution-capable source is loaded evidence, not the aggregate HMTc p90.",additional distribution-capable evidence or a single-source blocker retained in the standards gap report,Advance aggregate math only after at least two fit distribution-capable sources are available or governance explicitly approves an exception.,"single source is proposed as sufficient; source independence or comparability is contested",true,true,npm run evidence:show-results -- --product non-root-vegetable-purees,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution. Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication. A single source can remain loaded evidence, but it is not the HMTc aggregate."
36,P2,find_second_fit_distribution_source,find-second-distribution-capable-source,root-vegetable-purees,Root-vegetable purees,locked_hmtc_row,published,"Pb; Cd; tAs; tHg",,DO NOT PUBLISH P90: single distribution-capable source,"source independence; product row fit; basis comparability; species match; distribution capability; aggregation readiness","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; data/evidence/local_reingest_context_dispositions.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90. A single distribution-capable source is loaded evidence, not the aggregate HMTc p90.",additional distribution-capable evidence or a single-source blocker retained in the standards gap report,Advance aggregate math only after at least two fit distribution-capable sources are available or governance explicitly approves an exception.,"single source is proposed as sufficient; source independence or comparability is contested",true,true,npm run evidence:show-results -- --product root-vegetable-purees,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution. Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication. A single source can remain loaded evidence, but it is not the HMTc aggregate."
37,P2,find_second_fit_distribution_source,find-second-distribution-capable-source,teething-and-snacks-rice-based,Teething & snacks (rice-based),locked_hmtc_row,published,"Pb; Cd; tAs",,DO NOT PUBLISH P90: single distribution-capable source,"source independence; product row fit; basis comparability; species match; distribution capability; aggregation readiness","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; data/evidence/local_reingest_context_dispositions.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. A single distribution-capable source can remain loaded evidence, but it is not the aggregate HMTc p90. A single distribution-capable source is loaded evidence, not the aggregate HMTc p90.",additional distribution-capable evidence or a single-source blocker retained in the standards gap report,Advance aggregate math only after at least two fit distribution-capable sources are available or governance explicitly approves an exception.,"single source is proposed as sufficient; source independence or comparability is contested",true,true,npm run evidence:show-results -- --product teething-and-snacks-rice-based,"Aggregate HMTc p90 needs multiple fit sources, not one source-reported or reconstructed distribution. Find or route at least one additional fit distribution-capable source before aggregate HMTc p90 publication. A single source can remain loaded evidence, but it is not the HMTc aggregate."
38,P2,locate_sample_level_or_reported_percentile_data,find-sample-level-or-percentile-evidence,baby-cereals-dry-non-rice,"Baby cereals / grain products, dry (non-rice)",locked_hmtc_row,published,"iAs; Ni",,BLOCKED: summary evidence only,"whether source provides sample-level values, source-reported percentiles, or only summary/range evidence; basis; species; censoring","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; data/evidence/local_reingest_context_dispositions.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented. Means, medians, ranges, and maxima do not create p90 or p95 values by themselves.","distribution-capable rows, documented percentile extraction, or summary-only disposition",Mark distribution-capable only when sample values or explicitly reported percentiles are present and traceable.,"only summary values available but threshold pressure is high; deterministic percentile method proposed",true,true,npm run evidence:show-results -- --product baby-cereals-dry-non-rice,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources. Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then. Do not invent p50/p90/p95 from ranges or means."
39,P2,locate_sample_level_or_reported_percentile_data,find-sample-level-or-percentile-evidence,baby-cereals-dry-rice-based,"Baby cereals / grain products, dry (rice-based)",locked_hmtc_row,published,"iAs; Ni",,BLOCKED: summary evidence only,"whether source provides sample-level values, source-reported percentiles, or only summary/range evidence; basis; species; censoring","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; data/evidence/local_reingest_context_dispositions.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented. Means, medians, ranges, and maxima do not create p90 or p95 values by themselves.","distribution-capable rows, documented percentile extraction, or summary-only disposition",Mark distribution-capable only when sample values or explicitly reported percentiles are present and traceable.,"only summary values available but threshold pressure is high; deterministic percentile method proposed",true,true,npm run evidence:show-results -- --product baby-cereals-dry-rice-based,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources. Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then. Do not invent p50/p90/p95 from ranges or means."
40,P2,locate_sample_level_or_reported_percentile_data,find-sample-level-or-percentile-evidence,fish-containing-baby-foods,Fish-containing baby foods,locked_hmtc_row,published,"Pb; Cd; tAs; tHg; Al; Ni; Sn",,BLOCKED: summary evidence only,"whether source provides sample-level values, source-reported percentiles, or only summary/range evidence; basis; species; censoring","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; data/evidence/local_reingest_context_dispositions.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented. Means, medians, ranges, and maxima do not create p90 or p95 values by themselves.","distribution-capable rows, documented percentile extraction, or summary-only disposition",Mark distribution-capable only when sample values or explicitly reported percentiles are present and traceable.,"only summary values available but threshold pressure is high; deterministic percentile method proposed",true,true,npm run evidence:show-results -- --product fish-containing-baby-foods,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources. Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then. Do not invent p50/p90/p95 from ranges or means."
41,P2,locate_sample_level_or_reported_percentile_data,find-sample-level-or-percentile-evidence,fruit-juice-not-canned,Fruit juice (not canned),locked_hmtc_row,published,"Al; Sn; Co; Cr-total; Sb; V",,BLOCKED: summary evidence only,"whether source provides sample-level values, source-reported percentiles, or only summary/range evidence; basis; species; censoring","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented. Means, medians, ranges, and maxima do not create p90 or p95 values by themselves.","distribution-capable rows, documented percentile extraction, or summary-only disposition",Mark distribution-capable only when sample values or explicitly reported percentiles are present and traceable.,"only summary values available but threshold pressure is high; deterministic percentile method proposed",true,true,npm run evidence:show-results -- --product fruit-juice-not-canned,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources. Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then. Do not invent p50/p90/p95 from ranges or means."
42,P2,locate_sample_level_or_reported_percentile_data,find-sample-level-or-percentile-evidence,fruit-purees,Fruit purees (general),locked_hmtc_row,published,"iAs; Al; Ni; Sn; Co; Cr-total; Cu; Fe; I; Mn; Sb; Se; V; Zn",,BLOCKED: summary evidence only,"whether source provides sample-level values, source-reported percentiles, or only summary/range evidence; basis; species; censoring","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv; data/evidence/local_reingest_context_dispositions.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented. Means, medians, ranges, and maxima do not create p90 or p95 values by themselves.","distribution-capable rows, documented percentile extraction, or summary-only disposition",Mark distribution-capable only when sample values or explicitly reported percentiles are present and traceable.,"only summary values available but threshold pressure is high; deterministic percentile method proposed",true,true,npm run evidence:show-results -- --product fruit-purees,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources. Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then. Do not invent p50/p90/p95 from ranges or means."
43,P2,locate_sample_level_or_reported_percentile_data,find-sample-level-or-percentile-evidence,infant-formula-powder-non-soy,"Infant formula, powder (non-soy)",locked_hmtc_row,published,"iAs; Al; Ni; Sn; Ca; Cr-total; Cu; Fe; I; Mn; Se; U; Zn",,BLOCKED: summary evidence only,"whether source provides sample-level values, source-reported percentiles, or only summary/range evidence; basis; species; censoring","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented. Means, medians, ranges, and maxima do not create p90 or p95 values by themselves.","distribution-capable rows, documented percentile extraction, or summary-only disposition",Mark distribution-capable only when sample values or explicitly reported percentiles are present and traceable.,"only summary values available but threshold pressure is high; deterministic percentile method proposed",true,true,npm run evidence:show-results -- --product infant-formula-powder-non-soy,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources. Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then. Do not invent p50/p90/p95 from ranges or means."
44,P2,locate_sample_level_or_reported_percentile_data,find-sample-level-or-percentile-evidence,infant-formula-powder-soy-based,"Infant formula, powder (soy-based)",locked_hmtc_row,published,"iAs; Al; Ni; Ca; Cu; Fe; I; Mn; Se; Zn",,BLOCKED: summary evidence only,"whether source provides sample-level values, source-reported percentiles, or only summary/range evidence; basis; species; censoring","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented. Means, medians, ranges, and maxima do not create p90 or p95 values by themselves.","distribution-capable rows, documented percentile extraction, or summary-only disposition",Mark distribution-capable only when sample values or explicitly reported percentiles are present and traceable.,"only summary values available but threshold pressure is high; deterministic percentile method proposed",true,true,npm run evidence:show-results -- --product infant-formula-powder-soy-based,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources. Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then. Do not invent p50/p90/p95 from ranges or means."
45,P2,locate_sample_level_or_reported_percentile_data,find-sample-level-or-percentile-evidence,infant-formula-rtf-liquid-non-soy,"Infant formula, RTF liquid (non-soy)",locked_hmtc_row,published,"Al; Cu; Fe; I; Mn; Se; Zn",,BLOCKED: summary evidence only,"whether source provides sample-level values, source-reported percentiles, or only summary/range evidence; basis; species; censoring","data/evidence/hmtc_standards_action_queue.csv; data/evidence/hmtc_standards_gap_report.csv","Do not infer p50, p90, or p95 unless source-reported or deterministically documented; keep total arsenic separate from inorganic arsenic; keep total mercury separate from methylmercury; keep wet, dry, as-sold, prepared, and reconstituted bases separate; do not promote pending-tier evidence into public claims. Do not infer p50, p90, or p95 from means, ranges, IQRs, or max values unless a deterministic method is documented. Means, medians, ranges, and maxima do not create p90 or p95 values by themselves.","distribution-capable rows, documented percentile extraction, or summary-only disposition",Mark distribution-capable only when sample values or explicitly reported percentiles are present and traceable.,"only summary values available but threshold pressure is high; deterministic percentile method proposed",true,true,npm run evidence:show-results -- --product infant-formula-rtf-liquid-non-soy,"Loaded rows support N/mean/median/max context, but aggregate p90 needs sample-level values or explicitly reported percentiles from fit sources. Find sample-level data or explicitly reported percentiles; retain mean/median/max rows as context until then. Do not invent p50/p90/p95 from ranges or means."
