product_slug,product_label,metal_species,regulatory_limit_id,regulatory_value_ug_kg,regulatory_status,regulatory_scope,field_finding_summary,comparison_status,hmtc_use,sources
fruit-juices-apple-containing,Fruit juices (apple-containing),iAs,eu2023_ias_fruit_juice_20,20,maximum level,"fruit juices, concentrated fruit juices as reconstituted, and fruit nectars","FDA TDS reports total arsenic for apple juice, not iAs; no apple-juice inorganic-arsenic row is present.",EU maximum level loaded; direct comparison remains blocked until beverage occurrence sources are promoted with inorganic arsenic species.,External EU legal context alongside FDA apple-juice guidance; not HMTc value.,regulations/eu2023-contaminants-maximum-levels; sources/fda2022-tds-elements-fy2018-fy2020
fruit-juices-apple-containing,Fruit juices (apple-containing),Pb,fda2022_draft_pb_apple_juice_10,10,draft guidance; not for implementation,single-strength apple juice,"FDA TDS FY2018-FY2020 apple juice rows provide N=3 bottled apple-juice results: Pb median 1.5 ppb, P95 2.58 ppb, max 2.7 ppb; total arsenic max 4.4 ppb, with no apple-juice iAs speciation row.",Draft apple-juice value only; not for implementation; occurrence data are not a final regulatory comparison.,Draft context only.,regulations/fda2022-draft-lead-juice; sources/fda2022-tds-elements-fy2018-fy2020
fruit-juices-apple-containing,Fruit juices (apple-containing),Pb,eu2023_pb_fruit_juice_other_30,30,maximum level,"fruit juices and nectars other than exclusively from berries and other small fruits","FDA TDS FY2018-FY2020 apple juice rows provide N=3 bottled apple-juice results: Pb median 1.5 ppb, P95 2.58 ppb, max 2.7 ppb; total arsenic max 4.4 ppb, with no apple-juice iAs speciation row.","EU maximum level loaded; the small-N apple-juice TDS row is below 30 ug/kg, but this is occurrence context and not an HMTc category distribution.",External EU legal context alongside FDA juice guidance; not HMTc value.,regulations/eu2023-contaminants-maximum-levels; sources/fda2022-tds-elements-fy2018-fy2020
vegetable-juices-non-root,Vegetable juices (non-root),Pb,fda2022_draft_pb_other_juice_20,20,draft guidance; not for implementation,other single-strength juices and juice blends,Category 5 source coverage pending.,Draft only; field-finding comparison blocked.,Draft context only.,regulations/fda2022-draft-lead-juice
vegetable-juices-root-vegetable-containing,Vegetable juices (root-vegetable-containing),Pb,fda2022_draft_pb_other_juice_20,20,draft guidance; not for implementation,other single-strength juices and juice blends,Category 5 source coverage pending.,Draft only; field-finding comparison blocked.,Draft context only.,regulations/fda2022-draft-lead-juice
flavored-waters,Flavored waters,Pb,fda_21cfr165110_pb_bottled_water_5,5,regulatory quality standard,bottled drinking water,Category 5 source coverage pending.,Applies only where product is bottled water within the quality-standard scope.,Regulatory context.,regulations/fda-21cfr165110-bottled-water-lead
plant-milks-rice-based,"Plant milks, rice-based",iAs,eu2023_ias_rice_drinks_30,30,maximum level,non-alcoholic rice-based drinks,"D'Amato 2026: N=25 Italian rice-based beverages; iAs mean=15 ug/kg, median=15 ug/kg, range=7-24 ug/kg; no sample exceeded 30 ug/kg.","Direct comparison available: product matrix, analyte species, and unit basis match.",External regulatory context and HMTc prioritization input; not an HMTc value.,regulations/eu2023-arsenic-rice-based-drinks; sources/damato2026-inorganic-arsenic-rice-based-beverages
plant-milks-rice-based,"Plant milks, rice-based",tAs,none_loaded,,no matched regulatory value loaded,No tAs value loaded for rice-based drinks.,"D'Amato 2026: tAs mean=23 ug/kg, median=22 ug/kg, range=9-58 ug/kg.",Context only; tAs is not interchangeable with iAs.,Speciation context only.,sources/damato2026-inorganic-arsenic-rice-based-beverages
plant-milks-soy-based,"Plant milks, soy-based",Al,none_loaded,,no matched regulatory value loaded,No product-specific Al value loaded for soy-based beverages.,"Milani 2023: Al means 758, 609, and 176 ug/L by soy source; max range endpoint 1822 ug/L.",Occurrence evidence only; PTWI estimate is not a product limit.,Prioritization input; not a compliance row.,sources/milani2023-trace-elements-soy-based-beverages
plant-milks-soy-based,"Plant milks, soy-based",tAs; Cd; Pb; Sn,none_loaded,,source-cited thresholds pending direct legal-source load,"Milani 2023 compares As, Cd, Pb, and Sn to Brazilian/MERCOSUR thresholds, but direct legal rows are not loaded yet.",tAs <38.2 ug/L; Cd <3.8 ug/L; Pb mostly <10.9 ug/L with soybean group mean 2.2 ug/L; Sn <18 ug/L except isolate mean 4.3 ug/L.,"Blocked for compliance until direct legal text, unit basis, density conversion, and As species are reviewed.",Context only.,sources/milani2023-trace-elements-soy-based-beverages
plant-milks-soy-based,"Plant milks, soy-based",Cr-total; Sb,none_loaded,,no matched regulatory value loaded,No product-specific Cr or Sb value loaded for soy-based beverages.,"Milani 2023: Cr isolate mean 1.8 ug/L with range <10.9-11.0; hydrosoluble and soybean groups <10.9 ug/L. Sb means 6.2, 2.5, and 12 ug/L with range endpoints up to 61 ug/L.","Occurrence context only; Cr is total/unspecified chromium, not Cr-VI; censored bounds are retained as reported.",Context only.,sources/milani2023-trace-elements-soy-based-beverages
plant-milks-non-soy-non-rice,"Plant milks, non-soy/non-rice",Pb; tHg; U,none_loaded,,no matched regulatory value loaded,No product-specific value loaded for this row.,Marques 2021 reports Pb detected in one non-organic oat drink and Hg/U non-detected in milks and plant-based drinks; numeric table extraction requires review.,Blocked until source table/PDF extraction is verified.,Gap-prioritization only.,sources/marques2021-trace-elements-milks-plant-based-drinks
